name;pixelCount;target;original;blur;contrast;gamma
1000306439_a1744969b8_1369_11099615@N00;187500;5;0;0;0;0
1001738864_d4cb853874_1186_40124061@N00;167500;3;3;2;3;3
1002585912_42de35c492_1405_44711882@N00;786432;4;4;3;4;4
1003692712_3e4e298009_1180_7467212@N04;786432;4;3;2;3;4
1011925598_aa9e47e53e_1366_69215398@N00;187500;3;3;3;3;3
1012374989_23b999f21e_1116_8450063@N08;166500;3;2;2;2;2
1012809184_655c160dbf_1287_18962472@N00;786432;3;3;2;3;3
1016545105_873840a508_1150_92729647@N00;786432;3;3;2;3;2
1017120681_e00da7dcef_1316_10975509@N03;187500;3;3;0;3;3
1019616561_feed94da1f_1398_60792219@N00;701440;4;4;4;4;4
1021735753_12d6e849e9_1052_17012619@N00;695296;4;3;3;3;3
1022854323_d2835addda_1045_45795741@N00;166500;2;2;2;2;2
1022990207_bf29b1d778_1214_50224145@N00;697344;3;3;2;3;3
1022998857_bd42ab85a1_1210_50224145@N00;697344;3;3;3;3;3
1023023109_e1c3fd3ecf_1195_51783879@N00;187500;3;3;2;3;3
1023859710_4fa2ceea46_1125_50224145@N00;697344;2;2;2;2;2
1024417205_acaf9c5938_1288_96603368@N00;166500;3;3;3;3;3
1024436545_147e615323_1170_96603368@N00;166500;3;3;3;3;3
1024440819_146afc75db_1390_96603368@N00;166500;2;2;2;2;2
1024919820_be0ff5b20a_1055_93205202@N00;786432;3;3;3;3;3
1025286614_336f91364e_1306_96603368@N00;166500;3;3;3;3;3
1025292092_325b3df405_1153_96603368@N00;166500;3;3;3;3;3
1025296488_4712c26a4f_1160_96603368@N00;166500;3;3;2;3;3
1025297682_1c31d18f0a_1370_96603368@N00;166500;3;3;2;3;3
1025838985_3ec98cd09c_1127_59496256@N00;934032;2;2;2;2;2
1029898092_aa087e9e63_1409_58385743@N00;180500;3;3;1;3;3
1030741878_6399e18431_1337_50361459@N00;751616;2;2;2;2;2
1031582237_8c2f40b7cb_1143_17284432@N00;786432;4;4;4;4;4
1031755873_0b5712d533_1342_90322259@N00;751616;2;2;2;2;2
1031954059_d2a86414ab_1288_26801567@N00;699392;3;3;3;3;3
1033109923_7d9e94f70d_1130_10141647@N06;786432;2;2;2;2;2
1033395195_62df0f87cc_1134_97355450@N00;699392;3;3;3;3;3
1040286425_229cece8b3_1206_72867307@N00;187500;3;3;2;3;3
1045766465_e100c8ec34_1333_73954615@N00;180500;3;3;0;3;3
1053122746_450fa08f9e_1077_16274418@N00;166500;4;3;0;3;3
1055337527_747e5527cc_1344_11170286@N04;786432;3;2;2;2;2
1055590294_bd02a15b2c_1039_30575157@N00;699392;2;2;2;2;2
1056343083_e7af8520a8_1389_65039176@N00;786432;3;3;1;3;3
1057603342_62e5e1d088_1122_8425508@N02;941056;2;2;2;2;2
1061457666_a17b95b6f0_1182_9997865@N04;299832;2;2;2;2;2
1063629576_ff36dc0798_1427_9367884@N08;786432;3;3;2;2;2
1067150373_dd9585f7ff_1386_10632339@N03;746496;4;4;4;4;4
1070564300_c26b0d26ef_1437_25706268@N00;727040;3;3;3;3;3
1072641735_ef8824c70a_1256_11026324@N06;119776;2;2;2;2;2
1073956294_88215d2e18_1324_60122955@N00;187500;3;4;2;3;4
1074033897_3d2ea8c384_1191_80736443@N00;838656;2;2;2;2;2
1074593082_4527eae203_1118_46258685@N00;715776;2;2;1;2;2
1077664026_f71810e7d8_1209_9200789@N05;876544;2;2;2;2;2
1080795083_0bb0057629_1080_41938940@N00;166500;2;2;2;2;2
1083863561_e3fea25668_1382_82369084@N00;786432;3;3;3;3;3
1088737189_94db90690d_1022_70069138@N00;838656;2;2;3;2;2
1089602880_3cb8efcdf6_1311_70069138@N00;840704;2;2;2;2;2
1097652191_60cae41513_1129_11316752@N05;707584;2;2;2;2;2
1097658785_9c023ea3ac_1359_11316752@N05;707584;2;1;1;1;1
1099341030_84dd661f86_1426_8720628@N04;813056;3;3;3;3;3
1102730963_fd5d059e4a_1198_60906818@N00;200000;2;2;2;2;2
1112369208_9494ca7d5a_1196_35369784@N00;838656;3;3;3;3;3
1114157038_2992fd1045_1036_11417599@N04;786432;3;3;3;3;3
1114628677_730b011c1e_1053_71017387@N00;166500;4;4;1;4;4
1117311341_5ec6dec4fd_1137_12349681@N00;753664;2;2;2;2;2
1118502221_5e171b7f24_1287_21974809@N00;711680;2;2;2;2;2
1119389670_5b54e1214b_1015_21974809@N00;699392;2;2;2;2;2
1122042368_03acb9393e_1075_11455040@N03;121680;3;3;3;3;3
1123306967_34181f7817_1370_21974809@N00;785408;2;2;2;2;2
1124169450_f421e70347_1436_21974809@N00;699392;3;3;3;3;3
1125435988_a48ec1a190_1021_25351620@N00;187500;3;2;0;2;2
1131033487_efaf9a7c8b_1412_7926772@N05;786432;3;3;3;3;3
1131421798_ce7a05af02_1155_11303873@N05;188000;2;2;0;2;1
1132538026_50a6fd60f7_1126_41894184336@N01;158688;3;3;0;3;3
1132921758_2fbe30132d_1074_55359780@N00;786432;3;2;2;2;2
1133230104_20edc3b83f_1280_73199923@N00;701440;2;2;2;2;2
1139780716_f5d024b4d8_1421_64808341@N00;199500;3;3;3;3;3
1141131647_301c1a6869_1392_33084706917@N01;699392;3;3;2;3;3
1142032443_ad65fe87e3_1070_42788859@N00;699392;2;2;2;2;2
1149278155_462c1710db_1207_89874168@N00;166500;2;2;1;2;2
1161504315_fd5eba060a_1431_61275805@N00;187500;2;2;2;2;2
1169616165_db57753048_1098_85498673@N00;191500;3;3;3;3;3
1170684627_51d57fe23f_1133_60978342@N00;167000;2;2;1;2;2
1171526294_769d3037be_1431_60978342@N00;167000;2;2;2;2;2
1175782997_c5c07a6f9c_1416_26715012@N00;753664;3;2;2;2;2
1176585561_fd6743e60e_1345_19283506@N00;187500;3;3;3;3;3
1177180817_949d6fc299_1027_11554691@N07;187500;2;2;2;2;2
1177664576_4af08a52e6_1054_11593084@N08;169500;2;2;2;2;2
1181636712_5068d97e01_1357_38058144@N00;397992;3;3;3;3;3
1187658477_c504dbee20_1149_46447252@N00;786432;3;3;3;3;3
1188023680_09453c7963_1316_11837207@N06;786432;3;3;3;3;3
1189505119_ad54507504_1166_11895124@N08;697344;3;3;3;3;3
1195746005_c394da6019_1310_40799020@N00;248000;3;3;2;3;3
1206904193_7bc768b112_1120_68574102@N00;693720;3;3;1;2;3
1215597989_ac83e0f49a_1176_73783310@N00;166500;2;2;2;2;2
1215684034_52aca55f5d_1145_10480146@N08;786432;3;3;2;2;2
1217729224_be859d46bb_1276_11970109@N06;786432;2;2;1;2;1
1217996547_019acb6dd1_1413_51035597898@N01;187500;2;2;1;2;2
1218230297_ee5b93473d_1142_11932771@N02;187500;3;3;0;3;3
1223774624_cc0dd7dacd_1128_12058627@N02;786432;2;2;2;2;2
1223967409_1db33a2c59_1412_19503391@N00;729088;2;2;2;2;2
1224822216_74968e8928_1334_19503391@N00;820224;2;2;2;2;2
1225417469_7cf9eca027_1402_8361589@N07;244000;2;2;2;2;2
1229656197_3518210101_1063_43786265@N00;786432;3;3;2;3;3
1236459089_f6275a134c_1367_73439432@N00;697344;2;2;2;2;2
1237431603_8a7e2bad25_1231_15979795@N00;786432;3;3;2;3;3
1238289544_7685bc980d_1254_15979795@N00;786432;3;3;2;3;3
1238298630_81d73b974c_1294_15979795@N00;786432;3;3;3;3;3
1244930675_151f3f7624_1255_82369084@N00;786432;3;3;3;3;3
1245057832_869ee5c253_1031_94709049@N00;786432;3;3;3;3;3
1252270328_2090820042_1298_44301453@N00;250000;3;3;1;3;3
1253014757_9df2cd3640_1216_17731548@N00;467666;3;3;2;3;3
1254794261_031a85b727_1118_12072086@N04;786432;2;2;2;2;2
1258834663_0e50e2b0a8_1223_17659717@N00;217156;3;3;0;3;3
1260603657_28aca85d0d_1073_11123920@N07;699392;3;3;2;3;3
1261269953_3a7cc76b07_1375_72627672@N00;166000;2;2;2;2;2
1261797390_d3717d8783_1333_70587588@N00;738304;3;3;3;3;3
1263023732_4b1f5e169f_1141_12324936@N03;172800;3;3;1;3;3
1265024416_656b01797f_1217_11751694@N05;786432;2;2;2;2;3
1272729429_260360ce7a_1038_7844374@N05;156500;2;2;1;2;2
1272740422_f8c6077997_1245_65605251@N00;187500;3;3;0;1;3
1272744092_c500b87065_1106_65605251@N00;187500;3;3;0;3;3
1273165193_cf9e7b2a9c_1370_11047904@N08;177000;3;2;1;2;2
1277882948_d6b2dc74a3_1319_54925118@N00;699392;3;3;2;3;3
1282178890_514f2e752a_1201_10202105@N08;784384;3;3;1;3;3
1282404605_9bc0adf418_1253_67017883@N00;250000;2;2;0;2;2
1282405921_e2e79b9098_1047_67017883@N00;250000;2;2;1;2;2
1282406803_59d35920c9_1121_67017883@N00;250000;2;2;2;2;2
1283272268_0a14d88db1_1006_67017883@N00;250000;2;2;1;2;2
1288543080_17d9b257e0_1187_7212402@N03;786432;3;3;2;3;3
1290293143_77293d9aba_1052_15636197@N00;786432;2;3;2;3;3
1291097519_776cef2675_1369_11744506@N04;786432;2;2;2;2;2
1292201477_fc92eee97f_1208_26883195@N00;688128;2;2;2;2;2
1296904543_c9d5cffd33_1343_44124395790@N01;166500;3;3;3;3;3
1297338477_a3f47a31b5_1250_43097621@N00;699392;2;2;2;2;2
1305864463_541a574e88_1025_88506093@N00;705536;3;3;2;3;2
1306365830_7c39193219_1350_8771767@N03;187000;3;3;0;3;3
1307783550_44c615a879_1001_74762283@N00;167000;2;2;1;2;2
1312337436_d391facf0d_1298_58007561@N00;786432;3;3;2;3;3
1315861581_5f43fab819_1110_17093421@N00;699392;3;3;3;3;3
1315943131_11fd9834fa_1114_17093421@N00;699392;2;2;2;2;2
1315950367_631892dccd_1368_17093421@N00;699392;3;3;3;3;3
1316710706_6916868a57_1434_17093421@N00;153600;2;2;1;2;2
1317003798_14bd79d6dc_1285_8594603@N04;695296;3;3;2;3;3
1320903431_f6d345bda2_1425_8242299@N04;698368;2;2;2;2;2
1324785903_e3a7ca69a6_1362_10631557@N05;187500;2;2;0;2;2
1325683442_0dc9859b71_1273_10631557@N05;188000;3;3;2;3;3
1325945621_911abcafe7_1374_81532520@N00;786432;3;3;3;3;3
1327422824_4d73707517_1009_12623396@N04;786432;3;3;3;3;3
1330545713_549739901a_1229_57166958@N00;838656;3;3;3;3;3
1338928918_d57d3d9007_1144_7958515@N07;695296;3;3;3;3;3
1340665707_088079ff9f_1202_12884324@N06;697344;2;2;2;2;2
1340783781_8ad45c1957_1071_12884324@N06;697344;2;2;2;2;2
1349917655_946aab7dc2_1198_74723961@N00;166500;3;2;2;2;3
1349918041_c8cc85664f_1248_74723961@N00;166500;3;3;3;3;3
1351675609_1139b47e5b_1380_11812618@N02;699392;2;2;1;2;2
1351689803_5681a505a9_1314_11812618@N02;699392;2;2;2;2;2
1351702591_617a4dc842_1070_11812618@N02;699392;2;2;2;2;2
1351738853_e77fd11921_1001_11812618@N02;699392;2;2;2;2;2
1352619846_951417fd66_1382_11812618@N02;699392;2;2;2;2;2
1353572935_c3c98d56e7_1113_48661282@N00;786432;3;3;3;3;4
1354530214_a7409fc693_1175_43866013@N00;187500;3;3;1;3;3
1355083651_28e3ae6258_1179_12607027@N04;685860;3;3;4;3;3
1356794484_3952204432_1380_83187206@N00;166500;2;2;2;2;2
1361694790_cf5d9ad40a_1255_61935966@N00;698368;3;3;0;3;3
